direction,entry_price,entry_time_jst,event_id,risk_units,sl_price,spec_version,tp_price,trade_id
LONG,84560.4,2026-09-25T18:13:29.217000+09:00,511_202609251810_BTC_USDT_LONG,1,84137.598,1.0,84983.20199999999,511_202609251810_BTC_USDT_LONG_B1_REFERENCE
LONG,1.0407,2026-09-25T18:13:38.208000+09:00,511_202609251810_SUI_USDT_LONG,1,1.0354965,1.0,1.0459034999999999,511_202609251810_SUI_USDT_LONG_B1_REFERENCE
LONG,9.263,2026-09-25T18:13:57.045000+09:00,511_202609251810_UNI_USDT_LONG,1,9.216685,1.0,9.309315,511_202609251810_UNI_USDT_LONG_B1_REFERENCE
LONG,0.09633,2026-09-25T18:23:35.489000+09:00,511_202609251820_DOGE_USDT_LONG,1,0.09584835,1.0,0.09681164999999999,511_202609251820_DOGE_USDT_LONG_B1_REFERENCE
LONG,1.0356,2026-09-25T18:23:31.303000+09:00,511_202609251820_SUI_USDT_LONG,1,1.0304220000000002,1.0,1.040778,511_202609251820_SUI_USDT_LONG_B1_REFERENCE
LONG,1.549,2026-09-25T18:23:25.006000+09:00,511_202609251820_XRP_USDT_LONG,1,1.5412549999999998,1.0,1.5567449999999998,511_202609251820_XRP_USDT_LONG_B1_REFERENCE
LONG,0.2531,2026-09-25T18:33:33.182000+09:00,511_202609251830_ADA_USDT_LONG,1,0.2518345,1.0,0.25436549999999997,511_202609251830_ADA_USDT_LONG_B1_REFERENCE
LONG,0.2208,2026-09-25T18:33:38.315000+09:00,511_202609251830_ARB_USDT_LONG,1,0.219696,1.0,0.22190399999999996,511_202609251830_ARB_USDT_LONG_B1_REFERENCE
LONG,84669.7,2026-09-25T18:33:11.593000+09:00,511_202609251830_BTC_USDT_LONG,1,84246.35149999999,1.0,85093.04849999999,511_202609251830_BTC_USDT_LONG_B1_REFERENCE
LONG,4.959,2026-09-25T18:33:23.163000+09:00,511_202609251830_NEAR_USDT_LONG,1,4.9342049999999995,1.0,4.983794999999999,511_202609251830_NEAR_USDT_LONG_B1_REFERENCE
LONG,4.4808e-06,2026-09-25T18:33:28.285000+09:00,511_202609251830_PEPE_USDT_LONG,1,4.458396e-06,1.0,4.503204e-06,511_202609251830_PEPE_USDT_LONG_B1_REFERENCE
LONG,1796.26,2026-09-25T18:33:32.216000+09:00,511_202609251830_SNDKSTOCK_USDT_LONG,1,1787.2787,1.0,1805.2413,511_202609251830_SNDKSTOCK_USDT_LONG_B1_REFERENCE
LONG,118.45,2026-09-25T18:33:15.783000+09:00,511_202609251830_SOL_USDT_LONG,1,117.85775,1.0,119.04225,511_202609251830_SOL_USDT_LONG_B1_REFERENCE
LONG,9.31,2026-09-25T18:33:40.214000+09:00,511_202609251830_UNI_USDT_LONG,1,9.26345,1.0,9.35655,511_202609251830_UNI_USDT_LONG_B1_REFERENCE
LONG,0.22222,2026-09-25T18:44:05.033000+09:00,511_202609251840_ARB_USDT_LONG,1,0.2211089,1.0,0.22333109999999998,511_202609251840_ARB_USDT_LONG_B1_REFERENCE
LONG,118.32,2026-09-25T18:43:45.237000+09:00,511_202609251840_SOL_USDT_LONG,1,117.7284,1.0,118.91159999999998,511_202609251840_SOL_USDT_LONG_B1_REFERENCE
LONG,0.22373,2026-09-25T18:54:00.742000+09:00,511_202609251850_ENA_USDT_LONG,1,0.22261135,1.0,0.22484864999999998,511_202609251850_ENA_USDT_LONG_B1_REFERENCE
SHORT,70.72,2026-09-25T18:53:44.705000+09:00,511_202609251850_LTC_USDT_SHORT,1,71.07359999999998,1.0,70.3664,511_202609251850_LTC_USDT_SHORT_B1_REFERENCE
LONG,9.349,2026-09-25T18:53:59.781000+09:00,511_202609251850_UNI_USDT_LONG,1,9.302255,1.0,9.395745,511_202609251850_UNI_USDT_LONG_B1_REFERENCE
SHORT,70.47,2026-09-25T19:13:48.098000+09:00,511_202609251910_LTC_USDT_SHORT,1,70.82234999999999,1.0,70.11765,511_202609251910_LTC_USDT_SHORT_B1_REFERENCE
LONG,2701.88,2026-09-25T19:23:34.570000+09:00,511_202609251920_ETH_USDT_LONG,1,2688.3706,1.0,2715.3894,511_202609251920_ETH_USDT_LONG_B1_REFERENCE
LONG,4.987,2026-09-25T19:23:44.700000+09:00,511_202609251920_NEAR_USDT_LONG,1,4.962065,1.0,5.011934999999999,511_202609251920_NEAR_USDT_LONG_B1_REFERENCE
LONG,4.4668e-06,2026-09-25T19:23:49.711000+09:00,511_202609251920_PEPE_USDT_LONG,1,4.444466e-06,1.0,4.489134e-06,511_202609251920_PEPE_USDT_LONG_B1_REFERENCE
LONG,0.2526,2026-09-25T19:34:37.938000+09:00,511_202609251930_ADA_USDT_LONG,1,0.251337,1.0,0.25386299999999995,511_202609251930_ADA_USDT_LONG_B1_REFERENCE
LONG,84657.4,2026-09-25T19:34:16.149000+09:00,511_202609251930_BTC_USDT_LONG,1,84234.113,1.0,85080.68699999999,511_202609251930_BTC_USDT_LONG_B1_REFERENCE
LONG,0.22702,2026-09-25T19:34:44.160000+09:00,511_202609251930_ENA_USDT_LONG,1,0.2258849,1.0,0.22815509999999997,511_202609251930_ENA_USDT_LONG_B1_REFERENCE
LONG,118.84,2026-09-25T19:34:20.344000+09:00,511_202609251930_SOL_USDT_LONG,1,118.2458,1.0,119.43419999999999,511_202609251930_SOL_USDT_LONG_B1_REFERENCE
LONG,1.553,2026-09-25T19:34:19.271000+09:00,511_202609251930_XRP_USDT_LONG,1,1.545235,1.0,1.5607649999999997,511_202609251930_XRP_USDT_LONG_B1_REFERENCE
LONG,0.22882,2026-09-25T19:42:44.486000+09:00,511_202609251940_ENA_USDT_LONG,1,0.2276759,1.0,0.22996409999999998,511_202609251940_ENA_USDT_LONG_B1_REFERENCE
LONG,1.0549,2026-09-25T19:42:27.838000+09:00,511_202609251940_SUI_USDT_LONG,1,1.0496254999999999,1.0,1.0601744999999998,511_202609251940_SUI_USDT_LONG_B1_REFERENCE
LONG,4.5303e-06,2026-09-25T19:53:05.489000+09:00,511_202609251950_PEPE_USDT_LONG,1,4.5076485e-06,1.0,4.552951499999999e-06,511_202609251950_PEPE_USDT_LONG_B1_REFERENCE
LONG,1.0699,2026-09-25T19:52:54.941000+09:00,511_202609251950_SUI_USDT_LONG,1,1.0645505000000002,1.0,1.0752495,511_202609251950_SUI_USDT_LONG_B1_REFERENCE
LONG,303.92,2026-09-25T19:53:03.997000+09:00,511_202609251950_TAO_USDT_LONG,1,302.4004,1.0,305.4396,511_202609251950_TAO_USDT_LONG_B1_REFERENCE
LONG,1597.06,2026-09-25T19:52:49.599000+09:00,511_202609251950_ZEC_USDT_LONG,1,1589.0747,1.0,1605.0452999999998,511_202609251950_ZEC_USDT_LONG_B1_REFERENCE
