ask,bid,cost_basis,cost_method,cost_settings,cost_status,data_age_ms,decision_time,event_id,execution_decision_time,execution_status,exit_ask,exit_bid,exit_data_age_ms,exit_expected_fill_price,exit_price_source,exit_quote_delay_ms,exit_quote_source,exit_quote_timestamp,exit_reference_price,exit_result,exit_timestamp,expected_fill_price,fee_R,gross_R,missing_cost_inputs,net_R,signal_price,slippage_R,source_scan_time,spread_R,spread_bps,spread_definition,spread_pct,ticker_time
7692.0,7691.9,,,,,530678.38,2026-09-25T08:23:56.661380+09:00,511_202609250815_SPX500_USDT_SHORT,,REFERENCE_QUOTE,,,,,,,,,,,,7691.9,,,,,7691.9,,2026-09-25T08:15:28.030000+09:00,,0.13000689036566232,,0.0013000689036566232,2026-09-25 08:15:05.983
0.21736,0.21735,OBSERVED_EXPECTED_NOTIONAL,components,{},MISSING_FEE_CONFIG,643534.0380000001,2026-09-25T08:34:07.452038+09:00,511_202609250820_ARB_USDT_SHORT,2026-09-25T08:44:09.151294+09:00,REFERENCE_QUOTE,0.21635,0.21634,2306.294,0.21635,KLINE,546845.0,MEXC_TICKER,2026-09-25T08:44:06.845000+09:00,0.2161936,TP,2026-09-25T08:35:00+09:00,0.21735,,0.9999999999999885,"[""MISSING_FEE_CONFIG"", ""MISSING_SLIPPAGE_CONFIG""]",,0.21728,,2026-09-25T08:23:53.047000+09:00,0.079528718703964,0.4602356406484721,SIGNED_REFERENCE_TO_QUOTE_IMPACT,0.004602356406484721,2026-09-25 08:23:23.918
4.594,4.593,OBSERVED_EXPECTED_NOTIONAL,components,{},MISSING_FEE_CONFIG,643519.0380000001,2026-09-25T08:34:07.452038+09:00,511_202609250820_NEAR_USDT_SHORT,2026-09-25T08:44:09.151294+09:00,REFERENCE_QUOTE,4.648,4.646,2294.294,4.648,KLINE,546857.0,MEXC_TICKER,2026-09-25T08:44:06.857000+09:00,4.61697,SL,2026-09-25T08:35:00+09:00,4.593,,-0.9999999999999971,"[""MISSING_FEE_CONFIG"", ""MISSING_SLIPPAGE_CONFIG""]",,4.594,,2026-09-25T08:23:37.358000+09:00,1.3944275141488802,2.1767522855906267,SIGNED_REFERENCE_TO_QUOTE_IMPACT,0.021767522855906267,2026-09-25 08:23:23.933
8.036,8.035,OBSERVED_EXPECTED_NOTIONAL,components,{},MISSING_FEE_CONFIG,557006.4770000001,2026-09-25T08:52:44.988477+09:00,511_202609250840_INJ_USDT_SHORT,2026-09-25T09:14:04.254596+09:00,REFERENCE_QUOTE,8.083,8.082,6345.596,8.083,KLINE,537909.0,MEXC_TICKER,2026-09-25T09:13:57.909000+09:00,7.9948250000000005,TP,2026-09-25T09:05:00+09:00,8.035,,0.9999999999999907,"[""MISSING_FEE_CONFIG"", ""MISSING_SLIPPAGE_CONFIG""]",,8.035,,2026-09-25T08:44:02.852000+09:00,2.1947728686994314,1.244555071561227,SIGNED_REFERENCE_TO_QUOTE_IMPACT,0.012445550715612269,2026-09-25 08:43:27.982
4.4174e-06,4.4173e-06,OBSERVED_EXPECTED_NOTIONAL,components,{},MISSING_FEE_CONFIG,557018.477,2026-09-25T08:52:44.988477+09:00,511_202609250840_PEPE_USDT_SHORT,2026-09-25T09:14:04.254596+09:00,REFERENCE_QUOTE,4.4549e-06,4.4546e-06,6357.5960000000005,4.4549e-06,KLINE,237897.0,MEXC_TICKER,2026-09-25T09:13:57.897000+09:00,4.440693e-06,SL,2026-09-25T09:10:00+09:00,4.4173e-06,,-0.9999999999999705,"[""MISSING_FEE_CONFIG"", ""MISSING_SLIPPAGE_CONFIG""]",,4.4186e-06,,2026-09-25T08:43:46.959000+09:00,0.7018965283121773,0.22631602770157802,SIGNED_REFERENCE_TO_QUOTE_IMPACT,0.0022631602770157803,2026-09-25 08:43:27.970
0.21682,0.21681,OBSERVED_EXPECTED_NOTIONAL,components,{},MISSING_FEE_CONFIG,740057.417,2026-09-25T09:04:28.870417+09:00,511_202609250850_ARB_USDT_SHORT,2026-09-25T09:14:04.254596+09:00,REFERENCE_QUOTE,0.21757,0.21756,2498.596,0.21757,KLINE,541756.0,MEXC_TICKER,2026-09-25T09:14:01.756000+09:00,0.2157359,TP,2026-09-25T09:05:00+09:00,0.21681,,1.000000000000004,"[""MISSING_FEE_CONFIG"", ""MISSING_SLIPPAGE_CONFIG""]",,0.21682,,2026-09-25T08:52:41.665000+09:00,1.701042339267609,0.46121206530808967,SIGNED_REFERENCE_TO_QUOTE_IMPACT,0.004612120653080897,2026-09-25 08:52:08.813
4.608,4.607,OBSERVED_EXPECTED_NOTIONAL,components,{},MISSING_FEE_CONFIG,740044.4169999999,2026-09-25T09:04:28.870417+09:00,511_202609250850_NEAR_USDT_SHORT,2026-09-25T09:04:36.101527+09:00,REFERENCE_QUOTE,4.665,4.664,2236.527,4.665,KLINE,273865.0,MEXC_TICKER,2026-09-25T09:04:33.865000+09:00,4.58496,TP,2026-09-25T09:00:00+09:00,4.607,,0.9999999999999979,"[""MISSING_FEE_CONFIG"", ""MISSING_SLIPPAGE_CONFIG""]",,4.608,,2026-09-25T08:52:25.168000+09:00,3.517361111111102,2.1701388888876862,SIGNED_REFERENCE_TO_QUOTE_IMPACT,0.021701388888876863,2026-09-25 08:52:08.826
71.96,71.93,OBSERVED_EXPECTED_NOTIONAL,components,{},MISSING_FEE_CONFIG,606855.2899999999,2026-09-25T09:13:57.709290+09:00,511_202609250900_LTC_USDT_LONG,2026-09-25T09:14:04.254596+09:00,REFERENCE_QUOTE,71.58,71.56,2511.596,71.56,KLINE,241743.0,MEXC_TICKER,2026-09-25T09:14:01.743000+09:00,71.5803,SL,2026-09-25T09:10:00+09:00,71.96,,-1.0000000000000102,"[""MISSING_FEE_CONFIG"", ""MISSING_SLIPPAGE_CONFIG""]",,71.94,,2026-09-25T09:04:07.149000+09:00,0.11203780928548175,4.170141784818867,SIGNED_REFERENCE_TO_QUOTE_IMPACT,0.04170141784818866,2026-09-25 09:03:50.854
766.74,766.73,,,,,609389.2899999999,2026-09-25T09:13:57.709290+09:00,511_202609250900_SPY_USDT_SHORT,,REFERENCE_QUOTE,,,,,,,,,,,,766.73,,,,,766.74,,2026-09-25T09:04:22.389000+09:00,,0.13042230743134445,,0.0013042230743134445,2026-09-25 09:03:48.320
0.2497,0.2496,OBSERVED_EXPECTED_NOTIONAL,components,{},MISSING_FEE_CONFIG,623390.268,2026-09-25T09:23:47.299268+09:00,511_202609250910_ADA_USDT_LONG,2026-09-25T10:14:50.118258+09:00,REFERENCE_QUOTE,0.2519,0.2518,6312.258,0.2518,KLINE,583806.0,MEXC_TICKER,2026-09-25T10:14:43.806000+09:00,0.25094849999999996,TP,2026-09-25T10:05:00+09:00,0.2497,,0.9999999999999664,"[""MISSING_FEE_CONFIG"", ""MISSING_SLIPPAGE_CONFIG""]",,0.2497,,2026-09-25T09:13:49.159000+09:00,-0.6820184221065763,4.004805766920975,SIGNED_REFERENCE_TO_QUOTE_IMPACT,0.04004805766920975,2026-09-25 09:13:23.909
